Modèle;Accuracy;Balanced Accuracy;Precision;Recall;F1-score;ROC-AUC;Average Precision
XGBoost;0.9702970297029703;0.9614890885750962;0.9;0.9473684210526315;0.9230769230769231;0.9942233632862645;0.9761716891910797
Random Forest;0.9405940594059405;0.8825417201540436;0.8823529411764706;0.7894736842105263;0.8333333333333333;0.9910141206675225;0.9623009377510761
Logistic Regression;0.9207920792079208;0.8905648267008985;0.7619047619047619;0.8421052631578947;0.8;0.9768934531450577;0.9180696582778609
Decision Tree;0.900990099009901;0.8177150192554556;0.7647058823529411;0.6842105263157895;0.7222222222222222;0.8177150192554556;0.5826257548355454
